method,path,router_name,route_file
POST,/api/v1/admin/events,router,admin.routes.js
GET,/api/v1/admin/reports/attendance,router,admin.routes.js
GET,/api/v1/admin/reports/usage,router,admin.routes.js
GET,/api/v1/admin/users,router,admin.routes.js
POST,/api/v1/admin/users,router,admin.routes.js
PUT,/api/v1/admin/users/:id,router,admin.routes.js
POST,/api/v1/appointments,router,appointment.routes.js
PUT,/api/v1/appointments/:id/cancel,router,appointment.routes.js
GET,/api/v1/appointments/my,router,appointment.routes.js
POST,/api/v1/auth/login,router,auth.routes.js
GET,/api/v1/auth/me,router,auth.routes.js
PUT,/api/v1/bills/:billId/pay,billRouter,billing.routes.js
GET,/api/v1/bills/unpaid,billRouter,billing.routes.js
POST,/api/v1/checkin,router,checkin.routes.js
GET,/api/v1/doctors,router,doctor.routes.js
GET,/api/v1/doctors/:id,router,doctor.routes.js
POST,/api/v1/doctors/:id/absence,router,doctor.routes.js
GET,/api/v1/doctors/:id/appointments,router,doctor.routes.js
GET,/api/v1/doctors/attendance/records,router,doctor.routes.js
GET,/api/v1/doctors/me/appointments,router,doctor.routes.js
PUT,/api/v1/doctors/me/availability,router,doctor.routes.js
POST,/api/v1/doctors/me/checkin,router,doctor.routes.js
POST,/api/v1/doctors/me/checkout,router,doctor.routes.js
GET,/api/v1/events,router,event.routes.js
GET,/api/v1/lab-requests/:id,labRouter,lab.routes.js
POST,/api/v1/lab-requests/:id/report,labRouter,lab.routes.js
GET,/api/v1/lab-requests/pending,labRouter,lab.routes.js
GET,/api/v1/medicines,router,medicine.routes.js
POST,/api/v1/medicines,router,medicine.routes.js
GET,/api/v1/medicines/:id,router,medicine.routes.js
PUT,/api/v1/medicines/:id/stock,router,medicine.routes.js
PUT,/api/v1/notifications/:id/read,router,notification.routes.js
GET,/api/v1/notifications/mine,router,notification.routes.js
GET,/api/v1/patients/:id,router,patient.routes.js
GET,/api/v1/patients/:id/documents,router,document.routes.js
POST,/api/v1/patients/:id/documents,router,document.routes.js
GET,/api/v1/patients/:id/visits,router,patient.routes.js
GET,/api/v1/patients/me,router,patient.routes.js
PUT,/api/v1/patients/me,router,patient.routes.js
GET,/api/v1/patients/me/lab-reports,router,patient.routes.js
GET,/api/v1/patients/qr/:qrCode,router,patient.routes.js
PUT,/api/v1/prescriptions/:id/dispense,prescriptionRouter,prescription.routes.js
GET,/api/v1/prescriptions/pending,prescriptionRouter,prescription.routes.js
POST,/api/v1/visits,router,visit.routes.js
GET,/api/v1/visits/:id,router,visit.routes.js
PUT,/api/v1/visits/:id/cancel,router,visit.routes.js
PUT,/api/v1/visits/:id/claim,router,visit.routes.js
PUT,/api/v1/visits/:id/complete,router,visit.routes.js
PUT,/api/v1/visits/:id/consultation,router,visit.routes.js
POST,/api/v1/visits/:id/vitals,router,visit.routes.js
GET,/api/v1/visits/:visitId/bill,visitBillingRouter,billing.routes.js
POST,/api/v1/visits/:visitId/bill,visitBillingRouter,billing.routes.js
GET,/api/v1/visits/:visitId/lab-requests,visitLabRouter,lab.routes.js
POST,/api/v1/visits/:visitId/lab-requests,visitLabRouter,lab.routes.js
GET,/api/v1/visits/:visitId/prescription,visitPrescriptionRouter,prescription.routes.js
POST,/api/v1/visits/:visitId/prescription,visitPrescriptionRouter,prescription.routes.js
GET,/api/v1/visits/my-queue,router,visit.routes.js
